OBJECTNUMMER;SidewalkID;Streetname;Segments;NetworkType;ComfortLevelCode;ComfortLevel;SpaceclaimCode;Spaceclaim;SpaceclaimAantal;SituationCode;Situation;WKT_LNG_LAT;WKT_LAT_LNG;LNG;LAT
1;1;"Herengracht";"0001";"";"09";"0.9m";"PAAL";"Palen en masten";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.897934 52.365345,4.898249 52.365402,4.899082 52.365559,4.900347 52.365807)";"LINESTRING(52.365345 4.897934,52.365402 4.898249,52.365559 4.899082,52.365807 4.900347)";4.8991406;52.3655758
2;2;"Herengracht";"0002";"";"22";"2.2m";"FIETSONREG";"Geparkeerde fietsen ongereguleerd";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.896055 52.364992,4.896121 52.365001,4.896244 52.365024,4.897372 52.36524,4.897701 52.365305)";"LINESTRING(52.364992 4.896055,52.365001 4.896121,52.365024 4.896244,52.36524 4.897372,52.365305 4.897701)";4.896878;52.36514855
3;3;"Herengracht";"0003";"";"09";"0.9m";"WINKEL|FIETSONREG";"Geparkeerde fietsen ongereguleerd - Winkeluitstalling & reclameborden";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887007 52.367754,4.887118 52.367682,4.887574 52.367422,4.887851 52.367267,4.888518 52.366884)";"LINESTRING(52.367754 4.887007,52.367682 4.887118,52.367422 4.887574,52.367267 4.887851,52.366884 4.888518)";4.88776255;52.3673191
4;4;"Herengracht";"0004";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887054 52.36874,4.887047 52.368703,4.887046 52.368677,4.887037 52.368433,4.887023 52.368172,4.887014 52.368115,4.887009 52.367824)";"LINESTRING(52.36874 4.887054,52.368703 4.887047,52.368677 4.887046,52.368433 4.887037,52.368172 4.887023,52.368115 4.887014,52.367824 4.887009)";4.88703155;52.36828235
5;5;"Herengracht";"0005";"";"09";"0.9m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887176 52.370229,4.887155 52.370059,4.887118 52.369629,4.887106 52.369454,4.887072 52.369015,4.887058 52.368782)";"LINESTRING(52.370229 4.887176,52.370059 4.887155,52.369629 4.887118,52.369454 4.887106,52.369015 4.887072,52.368782 4.887058)";4.8871169;52.3695049
6;6;"Herengracht";"0006";"";"09";"0.9m";"BROM";"Geparkeerde brommers/motoren";1;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887255 52.371228,4.88725 52.371171,4.887228 52.370962,4.887197 52.370637,4.887188 52.370528,4.887166 52.370288)";"LINESTRING(52.371228 4.887255,52.371171 4.88725,52.370962 4.887228,52.370637 4.887197,52.370528 4.887188,52.370288 4.887166)";4.8872106;52.37075805
7;7;"Herengracht";"0007";"";"06MIN";"Smaller dan 0.6m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887251 52.371268,4.88728 52.371556,4.887314 52.371854,4.887341 52.372138,4.887351 52.372213)";"LINESTRING(52.371268 4.887251,52.371556 4.88728,52.371854 4.887314,52.372138 4.887341,52.372213 4.887351)";4.88730095;52.37174035
8;8;"Herengracht";"0008";"";"18";"1.8m";"BROM|FIETSONREG";"Geparkeerde brommers/motoren - Geparkeerde fietsen ongereguleerd";2;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887434 52.372996,4.887434 52.372976,4.887389 52.372628,4.88735 52.372307)";"LINESTRING(52.372996 4.887434,52.372976 4.887434,52.372628 4.887389,52.372307 4.88735)";4.88739205;52.37265205
9;9;"Herengracht";"0009";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.887469 52.373248,4.887438 52.373047)";"LINESTRING(52.373248 4.887469,52.373047 4.887438)";4.8874533;52.373148
10;10;"Herengracht";"0010";"";"18";"1.8m";"GEEN";"Geen obstakels";0;"STANDAARD";"Standaard wegprofiel";"LINESTRING(4.888266 52.374747,4.888222 52.374715,4.887775 52.374239,4.887765 52.374189,4.887651 52.374062,4.887575 52.373967,4.887536 52.373711)";"LINESTRING(52.374747 4.888266,52.374715 4.888222,52.374239 4.887775,52.374189 4.887765,52.374062 4.887651,52.373967 4.887575,52.373711 4.887536)";4.88790105;52.3742294
