Segment ID,Street,City,Date and Time (Local),Pedestrian Total,Bike Total,Car Total,Large vehicle Total,Speed V85 km/h,Speed Car 0-10 km/h (%),Speed Car 10-20 km/h (%),Speed Car 20-30 km/h (%),Speed Car 30-40 km/h (%),Speed Car 40-50 km/h (%),Speed Car 50-60 km/h (%),Speed Car 60-70 km/h (%),Speed Car 70+ km/h (%),Pedestrian (A > B),Pedestrian (B > A),Bike (A > B),Bike (B > A),Car (A > B),Car (B > A),Heavy (A > B),Heavy (B > A),Night (A > B),Night (B > A),Uptime,Count 0-10 km/h,Count 10-20 km/h,Count 20-30 km/h,Count 30-40 km/h,Count 40-50 km/h,Count 50-60 km/h,Count 60-70 km/h,Count 70+ km/h,Under 30 km/h,Over 30 km/h
9000009380,Roetersstraat,Amsterdam,2025-09-04 07:00:00,108,123,98.0,14,43,15.31,9.18,18.37,36.73,12.24,6.12,1.02,1.02,21,87,61,62,66,32,6,8,0,0,Good uptime - 1,15.003800000000002,8.9964,18.0026,35.9954,11.9952,5.9976,0.9996,0.9996,42.0028,55.9874
9000009380,Roetersstraat,Amsterdam,2025-09-04 08:00:00,512,534,221.0,20,"48,5",10.86,16.29,22.17,22.17,15.84,6.79,3.62,2.26,67,445,149,385,136,85,13,7,0,0,Good uptime - 1,24.0006,36.000899999999994,48.9957,48.9957,35.0064,15.0059,8.000200000000001,4.994599999999999,108.99719999999999,112.00280000000001
9000009380,Roetersstraat,Amsterdam,2025-09-04 09:00:00,520,606,322.0,50,45,18.63,20.19,27.95,13.04,9.94,4.97,4.04,1.24,97,423,187,419,171,151,19,31,0,0,Good uptime - 1,59.9886,65.01180000000001,89.999,41.9888,32.0068,16.0034,13.008799999999999,3.9928,214.9994,107.00059999999999
9000009380,Roetersstraat,Amsterdam,2025-09-04 10:00:00,678,865,290.0,47,33,33.45,20.69,24.14,14.48,4.14,1.38,0.69,1.03,210,468,347,518,132,158,26,21,0,0,Good uptime - 1,97.00500000000001,60.001,70.006,41.992000000000004,12.006,4.002,2.001,2.987,227.012,62.98800000000001
9000009380,Roetersstraat,Amsterdam,2025-09-04 11:00:00,399,705,240.0,56,37,24.17,23.33,27.92,12.92,5.83,2.92,0.83,2.08,140,259,259,446,128,112,26,30,0,0,Good uptime - 1,58.00800000000001,55.992,67.008,31.008000000000003,13.991999999999999,7.008,1.992,4.992,181.00799999999998,58.992
9000009380,Roetersstraat,Amsterdam,2025-09-04 12:00:00,513,972,321.0,56,"37,5",31.78,16.2,25.23,15.89,5.3,1.87,0.62,3.12,243,270,350,622,160,161,38,18,0,0,Good uptime - 1,102.0138,52.002,80.98830000000001,51.0069,17.012999999999998,6.002700000000001,1.9902,10.0152,235.00410000000002,86.02800000000002
9000009380,Roetersstraat,Amsterdam,2025-09-04 13:00:00,388,682,248.0,33,41,11.69,12.9,28.63,30.65,9.68,2.82,2.02,1.61,157,231,251,431,130,118,13,20,0,0,Good uptime - 1,28.9912,31.992,71.0024,76.012,24.0064,6.9936,5.0096,3.9928,131.98559999999998,116.01440000000001
9000009380,Roetersstraat,Amsterdam,2025-09-04 14:00:00,543,901,328.0,55,"36,5",14.63,19.82,36.59,18.6,5.18,3.05,0.91,1.22,269,274,399,502,144,184,23,32,0,0,Good uptime - 1,47.9864,65.0096,120.01520000000002,61.00800000000001,16.9904,10.004,2.9848000000000003,4.0016,233.01120000000003,94.98880000000001
9000009380,Roetersstraat,Amsterdam,2025-09-04 15:00:00,622,690,542.0,112,35,16.79,24.91,32.84,16.79,4.8,1.85,0.55,1.48,242,380,328,362,179,363,47,65,0,0,Good uptime - 1,91.0018,135.0122,177.99280000000002,91.0018,26.016000000000002,10.027000000000001,2.9810000000000003,8.021600000000001,404.0068,138.0474
9000009380,Roetersstraat,Amsterdam,2025-09-04 16:00:00,689,430,477.0,83,34,23.48,16.56,34.59,18.03,4.4,1.05,0.42,1.47,298,391,147,283,148,329,13,70,0,0,Good uptime - 1,111.9996,78.99119999999999,164.9943,86.0031,20.988000000000003,5.008500000000001,2.0034,7.0119,355.9851,121.0149
9000009380,Roetersstraat,Amsterdam,2025-09-04 17:00:00,713,729,434.0,63,"39,5",7.6,8.76,36.87,33.41,6.45,3.0,1.15,2.76,344,369,302,427,140,294,16,47,0,0,Good uptime - 1,32.984,38.0184,160.01579999999998,144.99939999999998,27.993000000000002,13.02,4.991,11.9784,231.01819999999998,202.9818
9000009380,Roetersstraat,Amsterdam,2025-09-04 18:00:00,530,482,376.0,30,"44,5",8.78,8.78,33.24,28.99,9.31,5.05,2.39,3.46,250,280,163,319,152,224,7,23,0,0,Good uptime - 1,33.0128,33.0128,124.98240000000001,109.0024,35.0056,18.988,8.9864,13.009599999999999,191.008,184.992
9000009380,Roetersstraat,Amsterdam,2025-09-04 19:00:00,405,248,217.0,22,41,13.36,13.36,26.73,30.41,9.22,4.15,0.92,1.84,140,265,72,176,80,137,8,14,0,0,Good uptime - 1,28.9912,28.9912,58.004099999999994,65.9897,20.0074,9.0055,1.9964,3.9928,115.98649999999999,100.9918
9000009380,Roetersstraat,Amsterdam,2025-09-04 20:00:00,172,50,53.0,2,37,7.55,22.64,30.19,30.19,5.66,1.89,1.89,0.0,58,114,22,28,25,28,1,1,78,90,Good uptime - 1,4.0015,11.9992,16.0007,16.0007,2.9998,1.0017,1.0017,0.0,32.001400000000004,21.003899999999998
9000009380,Roetersstraat,Amsterdam,2025-09-05 07:00:00,103,49,75.0,9,"42,5",6.67,10.67,30.67,32.0,12.0,5.33,1.33,1.33,10,93,4,45,40,35,7,2,0,0,Good uptime - 1,5.0024999999999995,8.0025,23.0025,24.0,9.0,3.9975,0.9975,0.9975,36.0075,38.99250000000001
9000009380,Roetersstraat,Amsterdam,2025-09-05 08:00:00,539,431,175.0,29,41,14.86,15.43,29.71,24.0,10.86,2.29,1.71,1.14,71,468,43,388,95,80,17,12,0,0,Good uptime - 1,26.004999999999995,27.002499999999998,51.99250000000001,42.0,19.005,4.0075,2.9925,1.9949999999999997,105.0,70.0
9000009380,Roetersstraat,Amsterdam,2025-09-05 09:00:00,533,258,186.0,37,43,15.05,11.83,31.72,23.12,10.22,5.38,2.15,0.54,79,454,73,185,107,79,21,16,0,0,Good uptime - 1,27.993,22.003800000000002,58.999199999999995,43.0032,19.009200000000003,10.0068,3.9989999999999997,1.0044,108.996,77.0226
9000009380,Roetersstraat,Amsterdam,2025-09-05 10:00:00,555,611,260.0,36,38,25.38,17.69,28.46,17.31,6.54,1.54,1.54,1.54,167,388,159,452,129,131,20,16,0,0,Good uptime - 1,65.98799999999999,45.994,73.99600000000001,45.00599999999999,17.004,4.0040000000000004,4.0040000000000004,4.0040000000000004,185.978,74.022
9000009380,Roetersstraat,Amsterdam,2025-09-05 11:00:00,433,651,236.0,33,38,14.83,15.68,30.08,27.97,5.93,2.54,0.42,2.54,144,289,245,406,128,108,19,14,0,0,Good uptime - 1,34.998799999999996,37.004799999999996,70.98879999999998,66.0092,13.9948,5.9944,0.9912,5.9944,142.99239999999998,92.98400000000001
9000009380,Roetersstraat,Amsterdam,2025-09-05 12:00:00,475,785,309.0,46,42,12.62,13.59,34.3,22.98,7.12,4.21,3.24,1.94,198,277,267,518,153,156,28,18,0,0,Good uptime - 1,38.995799999999996,41.9931,105.987,71.0082,22.000799999999998,13.008899999999999,10.011600000000001,5.9946,186.9759,122.0241
9000009380,Roetersstraat,Amsterdam,2025-09-05 13:00:00,401,590,345.0,47,39,8.12,16.23,35.07,27.54,4.93,1.74,2.32,4.06,163,238,245,345,155,190,15,32,0,0,Good uptime - 1,28.014,55.9935,120.9915,95.01299999999999,17.008499999999998,6.002999999999999,8.004,14.007,204.999,140.03549999999998
9000009380,Roetersstraat,Amsterdam,2025-09-05 14:00:00,411,636,403.0,64,37,10.92,17.12,39.95,21.84,3.97,3.23,1.49,1.49,175,236,200,436,102,301,24,40,0,0,Good uptime - 1,44.007600000000004,68.9936,160.9985,88.01520000000001,15.9991,13.016900000000001,6.0047,6.0047,273.9997,129.0406
9000009380,Roetersstraat,Amsterdam,2025-09-05 15:00:00,291,628,433.0,59,42,20.79,15.01,27.48,19.17,8.08,4.62,1.39,3.46,163,128,247,381,131,302,26,33,0,0,Good uptime - 1,90.0207,64.9933,118.9884,83.0061,34.986399999999996,20.0046,6.0187,14.9818,274.0024,158.9976
9000009380,Roetersstraat,Amsterdam,2025-09-05 16:00:00,374,499,420.0,73,"37,5",12.14,14.52,37.14,25.24,6.67,1.43,0.95,1.9,225,149,173,326,123,297,8,65,0,0,Good uptime - 1,50.98800000000001,60.983999999999995,155.988,106.00799999999998,28.014,6.006,3.9899999999999998,7.9799999999999995,267.96000000000004,151.998
9000009380,Roetersstraat,Amsterdam,2025-09-05 17:00:00,526,542,462.0,53,37,15.58,17.32,35.71,21.0,4.11,3.25,1.73,1.3,241,285,193,349,127,335,7,46,0,0,Good uptime - 1,71.97959999999999,80.0184,164.98020000000002,97.02,18.988200000000003,15.015,7.9925999999999995,6.006,316.9782,145.0218
9000009380,Roetersstraat,Amsterdam,2025-09-05 18:00:00,415,355,328.0,29,"41,5",13.41,15.85,27.13,26.52,10.37,3.05,2.13,1.52,144,271,98,257,104,224,8,21,0,0,Good uptime - 1,43.9848,51.988,88.98639999999999,86.98559999999999,34.0136,10.004,6.9864,4.9856,184.9592,142.9752
9000009380,Roetersstraat,Amsterdam,2025-09-05 19:00:00,290,147,135.0,5,43,8.89,9.63,27.41,34.07,11.11,4.44,2.96,1.48,91,199,53,94,55,80,2,3,0,0,Good uptime - 1,12.0015,13.0005,37.0035,45.9945,14.998499999999998,5.994000000000001,3.996,1.998,62.005500000000005,72.98100000000001
9000009380,Roetersstraat,Amsterdam,2025-09-05 20:00:00,149,38,72.0,4,38,1.39,22.22,43.06,22.22,8.33,2.78,0.0,0.0,49,100,13,25,38,34,2,2,72,62,Good uptime - 1,1.0008,15.998399999999998,31.003200000000003,15.998399999999998,5.9976,2.0016,0.0,0.0,48.0024,23.9976
9000009380,Roetersstraat,Amsterdam,2025-09-06 07:00:00,33,21,42.0,7,46,4.76,7.14,28.57,28.57,23.81,7.14,0.0,0.0,11,22,6,15,26,16,4,3,0,0,Good uptime - 1,1.9991999999999999,2.9987999999999997,11.9994,11.9994,10.0002,2.9987999999999997,0.0,0.0,16.9974,24.9984
9000009380,Roetersstraat,Amsterdam,2025-09-06 08:00:00,59,38,76.0,5,47,1.32,11.84,30.26,22.37,22.37,6.58,1.32,3.95,13,46,4,34,51,25,2,3,0,0,Good uptime - 1,1.0032,8.9984,22.997600000000002,17.0012,17.0012,5.0008,1.0032,3.0020000000000002,32.9992,43.0084
