Segment ID,Street,City,Date and Time (Local),Pedestrian Total,Bike Total,Car Total,Large vehicle Total,Night Total,Speed V85 km/h,Speed Car 0-10 km/h (%),Speed Car 10-20 km/h (%),Speed Car 20-30 km/h (%),Speed Car 30-40 km/h (%),Speed Car 40-50 km/h (%),Speed Car 50-60 km/h (%),Speed Car 60-70 km/h (%),Speed Car 70+ km/h (%),Pedestrian (A > B),Pedestrian (B > A),Bike (A > B),Bike (B > A),Car (A > B),Car (B > A),Heavy (A > B),Heavy (B > A),Night (A > B),Night (B > A),Uptime
9000009380,Roetersstraat,Amsterdam,2025-09-03 20:00,36,14,24,0,236,33,8.33,33.33,33.33,25,0,0,0,0,12,24,4,10,14,10,0,0,118,118,Poor uptime - 0.5
9000009380,Roetersstraat,Amsterdam,2025-09-03 21:00,0,0,0,0,244,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,124,120,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-03 22:00,0,0,0,0,187,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,106,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-03 23:00,0,0,0,0,132,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,57,75,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 00:00,0,0,0,0,70,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,32,38,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 01:00,0,0,0,0,35,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,14,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 02:00,0,0,0,0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,16,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 03:00,0,0,0,0,12,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7,5,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 04:00,0,0,0,0,22,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,12,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 05:00,0,0,0,0,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,13,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 06:00,5,3,18,2,30,40.5,16.67,11.11,27.78,27.78,16.67,0,0,0,1,4,2,1,11,7,1,1,15,15,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 07:00,108,123,98,14,0,43,15.31,9.18,18.37,36.73,12.24,6.12,1.02,1.02,21,87,61,62,66,32,6,8,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 08:00,512,534,221,20,0,48.5,10.86,16.29,22.17,22.17,15.84,6.79,3.62,2.26,67,445,149,385,136,85,13,7,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 09:00,520,606,322,50,0,45,18.63,20.19,27.95,13.04,9.94,4.97,4.04,1.24,97,423,187,419,171,151,19,31,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 10:00,678,865,290,47,0,33,33.45,20.69,24.14,14.48,4.14,1.38,0.69,1.03,210,468,347,518,132,158,26,21,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 11:00,399,705,240,56,0,37,24.17,23.33,27.92,12.92,5.83,2.92,0.83,2.08,140,259,259,446,128,112,26,30,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 12:00,513,972,321,56,0,37.5,31.78,16.2,25.23,15.89,5.3,1.87,0.62,3.12,243,270,350,622,160,161,38,18,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 13:00,388,682,248,33,0,41,11.69,12.9,28.63,30.65,9.68,2.82,2.02,1.61,157,231,251,431,130,118,13,20,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 14:00,543,901,328,55,0,36.5,14.63,19.82,36.59,18.6,5.18,3.05,0.91,1.22,269,274,399,502,144,184,23,32,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 15:00,622,690,542,112,0,35,16.79,24.91,32.84,16.79,4.8,1.85,0.55,1.48,242,380,328,362,179,363,47,65,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 16:00,689,430,477,83,0,34,23.48,16.56,34.59,18.03,4.4,1.05,0.42,1.47,298,391,147,283,148,329,13,70,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 17:00,713,729,434,63,0,39.5,7.6,8.76,36.87,33.41,6.45,3,1.15,2.76,344,369,302,427,140,294,16,47,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 18:00,530,482,376,30,0,44.5,8.78,8.78,33.24,28.99,9.31,5.05,2.39,3.46,250,280,163,319,152,224,7,23,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 19:00,405,248,217,22,0,41,13.36,13.36,26.73,30.41,9.22,4.15,0.92,1.84,140,265,72,176,80,137,8,14,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 20:00,172,50,53,2,168,37,7.55,22.64,30.19,30.19,5.66,1.89,1.89,0,58,114,22,28,25,28,1,1,78,90,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 21:00,0,0,0,0,243,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,132,111,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 22:00,0,0,0,0,250,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,111,139,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-04 23:00,0,0,0,0,171,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,112,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 00:00,0,0,0,0,108,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,69,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 01:00,0,0,0,0,47,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21,26,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 02:00,0,0,0,0,18,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,8,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 03:00,0,0,0,0,26,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,12,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 04:00,0,0,0,0,20,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,9,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 05:00,0,0,0,0,32,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,18,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 06:00,3,1,9,1,33,43,11.11,11.11,44.44,11.11,11.11,11.11,0,0,0,3,0,1,5,4,1,0,16,17,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 07:00,103,49,75,9,0,42.5,6.67,10.67,30.67,32,12,5.33,1.33,1.33,10,93,4,45,40,35,7,2,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 08:00,539,431,175,29,0,41,14.86,15.43,29.71,24,10.86,2.29,1.71,1.14,71,468,43,388,95,80,17,12,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 09:00,533,258,186,37,0,43,15.05,11.83,31.72,23.12,10.22,5.38,2.15,0.54,79,454,73,185,107,79,21,16,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 10:00,555,611,260,36,0,38,25.38,17.69,28.46,17.31,6.54,1.54,1.54,1.54,167,388,159,452,129,131,20,16,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 11:00,433,651,236,33,0,38,14.83,15.68,30.08,27.97,5.93,2.54,0.42,2.54,144,289,245,406,128,108,19,14,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 12:00,475,785,309,46,0,42,12.62,13.59,34.3,22.98,7.12,4.21,3.24,1.94,198,277,267,518,153,156,28,18,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 13:00,401,590,345,47,0,39,8.12,16.23,35.07,27.54,4.93,1.74,2.32,4.06,163,238,245,345,155,190,15,32,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 14:00,411,636,403,64,0,37,10.92,17.12,39.95,21.84,3.97,3.23,1.49,1.49,175,236,200,436,102,301,24,40,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 15:00,291,628,433,59,0,42,20.79,15.01,27.48,19.17,8.08,4.62,1.39,3.46,163,128,247,381,131,302,26,33,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 16:00,374,499,420,73,0,37.5,12.14,14.52,37.14,25.24,6.67,1.43,0.95,1.9,225,149,173,326,123,297,8,65,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 17:00,526,542,462,53,0,37,15.58,17.32,35.71,21,4.11,3.25,1.73,1.3,241,285,193,349,127,335,7,46,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 18:00,415,355,328,29,0,41.5,13.41,15.85,27.13,26.52,10.37,3.05,2.13,1.52,144,271,98,257,104,224,8,21,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 19:00,290,147,135,5,0,43,8.89,9.63,27.41,34.07,11.11,4.44,2.96,1.48,91,199,53,94,55,80,2,3,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 20:00,149,38,72,4,134,38,1.39,22.22,43.06,22.22,8.33,2.78,0,0,49,100,13,25,38,34,2,2,72,62,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 21:00,0,0,0,0,284,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,128,156,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 22:00,0,0,0,0,237,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,107,130,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-05 23:00,0,0,0,0,203,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,122,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 00:00,0,0,0,0,157,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,67,90,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 01:00,0,0,0,0,115,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,62,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 02:00,0,0,0,0,64,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,29,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 03:00,0,0,0,0,43,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19,24,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 04:00,0,0,0,0,30,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16,14,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 05:00,0,0,0,0,23,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,11,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 06:00,3,3,6,0,28,30.5,0,16.67,66.67,16.67,0,0,0,0,0,3,0,3,1,5,0,0,16,12,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 07:00,33,21,42,7,0,46,4.76,7.14,28.57,28.57,23.81,7.14,0,0,11,22,6,15,26,16,4,3,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 08:00,59,38,76,5,0,47,1.32,11.84,30.26,22.37,22.37,6.58,1.32,3.95,13,46,4,34,51,25,2,3,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 09:00,179,111,111,5,0,42,2.7,9.91,32.43,36.94,9.91,1.8,3.6,2.7,29,150,42,69,68,43,3,2,0,0,Good uptime - 1
9000009380,Roetersstraat,Amsterdam,2025-09-06 10:00,171,328,144,24,0,45,1.39,11.81,26.39,28.47,23.61,5.56,2.08,0.69,38,133,173,155,98,46,18,6,0,0,Good uptime - 1
